word,part_of_speech,meaning,example,phonetic_symbol,audio_link
campaign,noun;;verb;;,（尤指政治、商业或军事的）专项活动，运动;;战役，作战;;从事活动；开展运动；发起运动;;,The protests were part of their campaign against the proposed building development in the area.;;他们反对在该地区进行房地产开发，抗议其反对运动的一部分。;;This is the latest act of terrorism in a long-standing and bloody campaign of violence.;;这是旷日持久的血腥暴力运动中最新的一次恐怖活动。;;The endless public appearances are an inevitable part of an election campaign.;;没完没了的公开露面是竞选活动不可避免的组成部分。;;She's the campaign organizer for the Labour Party.;;她是工党的竞选组织者。;;The government have just launched (= begun) their annual Christmas campaign to stop drunken driving.;;政府刚刚展开其一年一度的制止酒后驾车的圣诞专项活动。;;a controversial new advertising campaign;;备受争议的一则新广告的宣传活动;;a bombing campaign;;轰炸行动;;They've been campaigning for years to get him out of prison.;;多年来为了让他出狱他们一直在积极活动。;;He's spending a lot of his time at the moment campaigning for/on behalf of the Conservative Party.;;他目前将大量时间用于为／代表保守党奔走游说。;;They're busy campaigning against the building of a new motorway near here.;;他们正积极行动，反对在附近新建高速公路。;;,/kæmˈpeɪn/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukc/ukcam/ukcambo019.mp3
canal,noun;;,运河;渠;;管，道;;,"The Panama Canal provides a crucial shipping link between the Atlantic and Pacific oceans.;;巴拿马运河是连接大西洋和太平洋至关重要的航道。;;The alimentary canal is the path by which food enters the body, and solid waste is passed out.;;消化道是食物进入身体，固体废物排出身体的通道。;;",/kəˈnæl/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukc/ukcam/ukcamsh005.mp3
capable,adjective;;suffix;;,有能力的；熟练的；能干的;;有能力做…；能做…;;可…的，有…能力的（加在名次后形成形容词）;;,"She's a very capable woman/worker/judge.;;她是个很能干的女人／很熟练的工人／能力很强的法官。;;We need to get an assistant who's capable and efficient.;;我们需要一个能力强、效率高的助理。;;Only the Democratic Party is capable of running the country.;;只有民主党才有能力治理这个国家。;;A force ten wind is capable of blowing the roofs off houses.;;10级的大风能吹走屋顶。;;When she's drunk she's capable of saying (= likely to say) awful, rude things.;;她喝醉后会说些难听粗鲁的话。;;I think your plan is capable of being (= could be) improved.;;我认为你的计划还可以改进。;;These are nuclear-capable aircraft (= they can carry nuclear weapons).;;这些飞机可载核武器。;;",/ˈkeɪ.pə.bəl/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukc/ukcan/ukcant_017.mp3
capacity,noun;;,容积，容量;生产能力;（尤指某人或某组织的）办事能力;;职位;工作;角色;;,"The stadium has a seating capacity of 50,000.;;这个体育场能容纳5万人。;;The game was watched by a capacity crowd/audience of 50,000 (= the place was completely full).;;比赛场座无虚席，5万观众观看了比赛。;;She has a great capacity for hard work.;;她特别能吃苦耐劳。;;The purchase of 500 tanks is part of a strategy to increase military capacity by 25 percent over the next five years.;;购买500辆坦克是在今后5年里将军事力量增加25%的战略计划的一部分。;;It seems to be beyond his capacity to (= he seems to be unable to) follow simple instructions.;;他好像连简单的指令也听不懂。;;Do you think it's within his capacity to (= do you think he'll be able to) do the job without making a mess of it?;;你认为他有能力完成这项工作而不把它搞砸吗？;;The generators each have a capacity of (= can produce) 1,000 kilowatts.;;每台发电机都有1000千瓦的发电能力。;;The larger cars have bigger capacity engines (= the engines are bigger and more powerful).;;大轿车引擎功率也比较大。;;All our factories are working at (full) capacity (= are producing goods as fast as possible).;;我们所有的工厂都在满负荷运行。;;We are running below capacity (= not producing as many goods as we are able to) because of cancelled orders.;;因为订单取消，我们的工厂开工不足。;;He suffered a stroke in 2008, which left him unable to speak, but his mental capacity (= his ability to think and remember) wasn't affected.;;2008年他得了中风，不能说话了，但是思维能力没有受影响。;;She guides tourists at the Martin Luther King Jr. Birth Home in her capacity as a National Park Service ranger.;;作为国家公园管理局的管理员，她陪同游客参观马丁·路德·金的出生地。;;She was speaking in her capacity as a novelist, rather than as a television presenter.;;她是作为小说家而不是电视节目主持人在发言。;;",/kəˈpæs.ə.ti/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukc/ukcan/ukcant_021.mp3
capture,verb;;,赢得;获得，取得;;俘虏;俘获;（尤指用武力）夺取;;（用文字或图象）表现，描绘，刻画;;拍摄，摄制;;（计算机等）采集，储存（信息）;;唤起（想象）；引起（关注）;;,Two of the soldiers were killed and the rest were captured.;;两名士兵被杀，其余被俘。;;Rebel forces captured the city after a week-long battle.;;叛军经过一周的战斗攻取了该市。;;The Democratic Party captured 70 percent of the vote.;;民主党获得了70%的选票。;;It would be impossible to capture her beauty in a painting.;;她的美无法用画笔描绘。;;A passer-by captured the whole incident on film.;;一位路人拍摄下了事件的全过程。;;The American drive to land a man on the Moon captured the imagination/attention of the whole world.;;美国的载人登月行动引起了全世界的遐想／关注。;;,/ˈkæp.tʃər/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukc/ukcap/ukcapit026.mp3
cargo,noun;;,（轮船、飞机等大型交通工具装载的）货物;;,a cargo ship/plane;;货船／货运飞机;;The ship was carrying a cargo of wood.;;这艘船正在运送一批木材。;;,/ˈkɑː.ɡəʊ/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukc/ukcar/ukcardi028.mp3
carve,verb;;,（尤指在石头或木头上）雕刻;;把（熟肉）切成小片;;,"This totem pole is carved from/out of a single tree trunk.;;这根图腾柱是由一整根树干雕刻而成的。;;He carved her name on a tree.;;他将她的名字刻在了树上。;;Some of the tunnels in the cliff are natural, some were carved out (= cut into the rock) by soldiers for defensive purposes.;;峭壁中的一些隧道是天然形成的，一些是士兵们在石头上开凿出来用于防御的。;;Would you like me to carve (the chicken)?;;您要我（把鸡肉）切成小块吗？;;",/kɑːv/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukc/ukcal/ukcalip022.mp3
cast,verb;;noun;;,使对…产生怀疑;;扔;投;抛;掷;;（一部电影、戏剧或演出的）全体演员;;铸件，铸造品;;石膏绷带，石膏夹;;打着石膏;;分配…扮演（某角色），为…选派演员;;把（光或阴影）投向;投射;;使更易理解;有助于说明;;看一眼（瞅一眼，冲…一笑等）;;迅速地看;匆匆浏览;;（钓鱼时）抛，扔（渔线）;撒（网）;;诽谤;诋毁;;回想;追忆;;投票;;（用熔化的金属等）浇铸，铸造;;施魔法，念咒语;使…入魔;;（蛇）蜕（皮）;;,"After the final performance the director threw a party for the cast.;;最后一场演出过后，导演为全体演员举办了一场聚会。;;Part of the movie's success lies in the strength of the supporting cast (= the actors who were not playing the main parts).;;影片的成功部分归功于强大的配角阵容。;;My leg was in a cast for about six weeks.;;我的腿打了6周左右的石膏。;;He was often cast as the villain.;;他经常演反面角色。;;In her latest movie she was cast against type (= played a different character than the one she usually played or might be expected to play).;;在最近拍的电影中，她改变了戏路。;;They like to cast the opposing political party as (= to say that they are) the party of high taxes.;;他们喜欢把敌对政党说成是征收高额税收的政党。;;The moon cast a white light into the room.;;皎洁的月光洒进房间里。;;The tree cast a shadow over/on his face.;;树影投在他的脸上。;;Her arrival cast a shadow over/on the party (= made it less pleasant).;;她的到场给聚会投上了一丝阴影。;;The discovery of the dinosaur skeleton has cast light on why they became extinct.;;恐龙骨架的发现使人们对于恐龙灭绝的原因有了一些认识。;;She cast a quick look in the rear mirror.;;她迅速看了一眼后视镜。;;Could you cast an eye over this report for me?;;你能帮我看一眼这份报告吗？;;The knight cast the sword far out into the lake.;;骑士将剑远远地扔进湖中。;;He cast the line to the middle of the river.;;他把渔线抛向河中央。;;New evidence has cast doubt on the guilty verdict.;;新的证据让人们对判罚有罪的裁决产生了怀疑。;;His opponents cast aspersions on his patriotism.;;反对者诋毁他的爱国精神。;;If you cast your mind back, you might recall that I never promised to go.;;回想一下，你或许会记得我从未答应过要去。;;All the votes in the election have now been cast and the counting has begun.;;这次选举的投票现已全部结束，计票工作已经开始。;;The old woman cast a spell on the prince and he turned into a frog.;;老太婆对王子施了魔法，他变成了一只青蛙。;;When I was 17, jazz cast its spell on me (= I started to like it very much).;;我17岁的时候对爵士乐着了迷。;;",/kɑːst/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukc/ukcar/ukcartr026.mp3
casual,adjective;;,不经意的，随意的；碰巧的;;不固定的;不定期的;临时的;;不在意的;不放在心上的;漫不经心的;;（衣服）休闲的;便装的;;,"casual clothes;;休闲服;;The psychologist's attitude seemed far too casual, even brutal.;;那个心理学家的态度似乎太过冷淡了，甚至有些冷酷。;;Security around the conference hotel seemed almost casual.;;举行会议的酒店周围的安全措施似乎不太严格。;;Although close to tears, she tried to make her voice sound casual.;;尽管都快掉眼泪了，可她还是尽力使自己的声音听上去满不在乎。;;casual labour/labourers/workers;;零工／临时工;;casual sex;;随便的性关系;;It was just a casual comment, I didn't mean it to be taken so seriously.;;我只是随便说说而已，不是当真的。;;To a casual observer, everything might appear normal.;;对于一个漫不经心的人来说，也许看上去一切正常。;;",/ˈkæʒ.u.əl/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukc/ukcas/ukcaste007.mp3
categorise,verb;;,对…进行分类，将…归类;;,The books are categorized into beginner and advanced.;;这些书分为入门级和高级。;;I would categorize this as a very early example of Tudor art.;;我觉得应该把它归类为都铎式艺术的早期作品。;;,/ˈkæt.ə.ɡər.aɪz/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukc/ukcat/ukcatch010.mp3
cater,verb;;,提供饮食;承办（宴席）;;,I'm catering for twelve on Sunday - the whole family is coming.;;星期天我要招待12个人，全家都要来。;;Which firm will be catering at the wedding reception?;;将由哪家公司承办婚宴？;;Who catered your party?;;你们的聚会是谁承办的？;;,/ˈkeɪ.tər/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukc/ukcat/ukcatch012.mp3
celebration,noun;;,庆祝活动;庆祝会;;庆祝，庆贺；祝贺;;,There were lively New Year celebrations all over town.;;全城到处是喜迎新年的活动。;;Such good news calls for (= deserves) a celebration!;;这样的好消息可喜可贺！;;Let's buy some champagne in celebration of her safe arrival.;;我们买点香槟酒庆祝她平安到达吧。;;,/ˌsel.əˈbreɪ.ʃən/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukc/ukcel/ukceleb003.mp3
cereal,noun;;,谷类植物，谷物;;（尤指早晨加牛奶食用的）谷类食物;;,cereal crops;;谷类作物;;breakfast cereals;;早餐麦片;;,/ˈsɪə.ri.əl/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukc/ukcen/ukcensu029.mp3
character,noun;;,（电影、戏剧或故事中的）人物，角色;;性格，个性；特征;;（书写或印刷的）字母，字（或数字、标记、符号）;字符;;风格，特色，特点;;勇气；坚强性格;;（尤指具有某一特点的）人;;与众不同的人；（尤指）有趣的人，好玩的人;;,"Politeness is traditionally part of the British character.;;待人礼貌客气历来是英国人性格的一部分。;;It would be very out of character (= not typical) of her to lie.;;撒谎可不符合她的个性。;;One of the joys of being a parent is watching the child's character develop.;;为人父母的一大乐趣就是观察孩子的性格发展。;;The idea was to modernize various aspects of the house without changing its essential character.;;这个设想就是使房子各方面现代化而不改变它的基本特征。;;It's not in his character to be (= he is not usually) jealous.;;他不是个爱嫉妒的人。;;a hotel of character;;独具特色的酒店;;I'd prefer an old place with a bit of character.;;我偏爱有特色的老地方。;;Old books are said to give a room character.;;据说旧书能使房间别具一格。;;As people grow older, their faces acquire more character.;;随着年龄的增长，人的脸会越来越具有个性。;;She has such strength of character.;;她个性很强。;;The film revolves around three main characters.;;电影围绕3位主角展开。;;She had Mickey Mouse or some other cartoon/Disney character on her sweater.;;她的毛衣上有米老鼠或另外其他的卡通／迪斯尼人物的图案。;;He made his name as a character actor (= an actor who plays unusual and often humorous people).;;他以性格演员著称。;;She's a curious character - I don't really know what to think of her.;;她真是个怪人——我真不知道该怎样评价她。;;There were one or two strange-looking characters hanging around the bar.;;有一两个样子奇怪的人在酒吧里转来转去。;;Ted's quite a character/a real character - he's 70 now and still riding that motorbike.;;特德真是个有趣的人——现在都70岁了，还骑着那辆摩托车。;;a string of characters (= a line of marks);;一串符号;;The address was written in Chinese/Japanese characters (= systems of writing).;;地址是用汉字／日文写的。;;The computer screen on this laptop is 66 characters (= spaces) wide.;;这台笔记本电脑的屏幕有66个字符宽。;;",/ˈkær.ək.tər/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukc/ukcha/ukchaot021.mp3
charity,noun;;,慈善事业；慈善组织，慈善机构;;仁慈，宽容，友善;;,"She does a lot of work for charity.;;她做了很多慈善工作。;;People tend to give to (= give money to) charity at Christmas time.;;人们往往在圣诞节向慈善组织捐钱。;;Proceeds from the sale of these cards will go to (= be given to) local charities.;;卖这些贺卡所得的收益将捐献给地方慈善组织。;;UNICEF is an international charity.;;联合国儿童基金会是国际性慈善组织。;;They did a charity performance on the first night, to raise money for AIDS research.;;他们的首晚演出是慈善义演，为艾滋病研究募集资金。;;",/ˈtʃær.ə.ti/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukc/ukcha/ukcharg012.mp3
chase,verb;;noun;;,追赶，追逐;追捕;;跑来跑去;匆忙赶往;;追求，努力争取;;追求，向…求爱;;驱逐;赶走，撵走;;追赶，追逐;追捕;;,"The police car was going so fast, it must have been chasing someone.;;警车开得这么快，一定是在追捕什么人。;;She was chasing (after) a man who had snatched her bag.;;她在追赶一个抢走她包的男子。;;She couldn't study with the children chasing around the house.;;孩子们在房子里跑来跑去，她没法学习。;;It's depressing how many people there are chasing so few jobs.;;这么多人在争夺这么少的几份工作，真是让人沮丧。;;After years of chasing her dreams, she finally got a part in a film.;;追逐自己的梦想这么多年，她终于在一部电影中得到了一个角色。;;She's always chasing (after) men.;;她总是追求男人。;;He used to chase the children away from his apple trees.;;他过去常把孩子们从他的苹果树旁赶走。;;She's always chasing cats out of the garden to protect her precious birds.;;她总是把猫赶出花园，以保护她那些珍贵的小鸟。;;a tedious movie with endless car/police chases;;充斥着没完没了追车／警察追捕场面的乏味电影;;",/tʃeɪs/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukc/ukcha/ukchary002.mp3
chronic,adjective;;,（尤指疾病或不好的事物）慢性的，长期的;;很糟的，很不好的;;,chronic diseases/conditions;;慢性病;;chronic arthritis/pain;;慢性关节炎／长期的疼痛;;a chronic invalid;;长期病号;;There is a chronic shortage of teachers.;;教师长期短缺。;;The acting was chronic.;;表演很糟糕。;;,/ˈkrɒn.ɪk/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukc/ukcho/ukchora029.mp3
circumstance,noun;;,条件，情况；情形，形势;;经济状况;;无法控制的因素；客观环境；命运;;,I think she coped very well under the circumstances.;;我觉得在那种情况下她处理得很不错。;;Obviously we can't deal with the problem until we know all the circumstances.;;显然，我们只有了解全部情况后才能处理这问题。;;She died in suspicious circumstances.;;她死得很蹊跷。;;We oppose capital punishment in/under any circumstances.;;无论在什么情况下，我们都不赞成死刑。;;Under no circumstances should you (= you should not) approach the man.;;你无论如何都不应该联系那个男人。;;The meeting has been cancelled due to circumstances beyond our control.;;会议因不可控情况的出现而被取消了。;;They were victims of circumstance.;;他们是客观环境的牺牲品。;;We were obliged to go by force of circumstance.;;形势所迫，我们不得不走。;;Grants are available depending on your circumstances.;;视经济状况，符合条件可获得助学金。;;By now she was alone and living in reduced circumstances (= with little money).;;现在她孤单一人，生活拮据。;;,/ˈsɜː.kəm.stɑːns/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukc/ukcin/ukcinna026.mp3
circuit,noun;;,环行物;（尤指）环形道路（或路线、赛道）;;（电流的）电路;（液体的）回路;;巡回;巡游;巡回之地;;巡回审判区;;,They first met each other on the tennis circuit (= while at different tennis competitions).;;他们在网球巡回赛上首次交锋。;;He was a familiar figure on the lecture circuit.;;他是巡回讲学中的座上常客。;;The judge had served for many years on the northeastern Circuit.;;这位法官多年来供职于东北部巡回法庭。;;a circuit judge;;巡回法官;;They test the car tyres on a motor racing circuit.;;他们在环形赛车道上测试轮胎。;;We made a leisurely circuit of the city walls.;;我们悠闲地围着城墙转悠。;;A defect was found in the water-cooling/electrical circuit.;;在水冷回路／电路中发现了一点毛病。;;,/ˈsɜː.kɪt/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukc/ukcin/ukcinna005.mp3
circus,noun;;,马戏团;马戏演员;马戏表演;;闹哄哄的情形;热闹的场面;;（数条道路交汇的）圆形广场;;,"She ran away to join the circus.;;她离家出走加入了马戏团。;;The horses trotted into the circus ring (= the large circle, with seats all around, in which a circus performs).;;马小跑着进入圆形马戏场。;;The children loved being taken to the circus.;;孩子们喜欢大人带他们去看马戏表演。;;the media circus surrounding the case;;围绕这案子沸沸扬扬的媒体报道;;Piccadilly Circus;;皮卡迪利广场;;Oxford Circus;;牛津广场;;",/ˈsɜː.kəs/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukc/ukcin/ukcinna030.mp3
cite,verb;;,引用，引述;;举例，引证;;援引;传唤，传讯;;（军队中公开）嘉奖，表彰，表扬;;,She cited three reasons why people get into debt.;;她举出了人们为何负债的3个原因。;;The company cited a 13 percent decline in new orders as evidence that overall demand for its products was falling.;;公司举出新订单减少13%这一事实，以此来证明对其产品的总需求在下降。;;She cites both T.S. Eliot and Virginia Woolf in her article.;;她在文章中引用了T.S.艾略特和弗吉尼娅•吴尔夫的作品。;;The lawyer cited two similar cases.;;律师援引了两个类似的案例。;;He has been cited as the co-respondent in the divorce case.;;他作为这起离婚案的共同被告被传讯。;;He was cited for bravery.;;他因为勇敢而受到嘉奖。;;,/saɪt/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukc/ukcir/ukcirrh008.mp3
civil,adjective;;,文职的;民用的;平民的，国民的;;民事的;;有礼貌的;文明的;客气的;;,"Helicopters are mainly used for military rather than civil use.;;直升机主要用于军事而非民用。;;After ten years of military dictatorship, the country now has a civil government.;;经历了10年军事专制统治后，该国现在有了一个文官政府。;;We weren't married in church, but we had a civil ceremony in a registry office.;;我们没在教堂结婚，不过在婚姻登记处举行了个世俗仪式。;;The matter would be better dealt with in the civil court rather than by an expensive criminal proceeding.;;这事最好在民事法庭处理，而不要进行昂贵的刑事诉讼。;;His manner was civil, though not particularly friendly.;;他的态度很客气，尽管不是特别友好。;;",/ˈsɪv.əl/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukc/ukcir/ukcirrh021.mp3
click,noun;;verb;;,点击（鼠标）;;（使）发出短而尖的声音;（使）发出咔嗒声;;成为朋友;受欢迎;;突然明白;恍然大悟;;短而尖的声音;;（语音中的）咔嗒音;;点击（鼠标）;;一键之遥（指很容易从计算机、特别是互联网上获得）;;,"If you want to open a file, click twice on the icon for it.;;如果你想打开一个文件，双击该文件图标。;;When you have selected the file you want, click the ""Open"" box.;;选中了你想要的文件，用鼠标点击“打开”方框。;;The door clicked shut behind her.;;门在她身后咔嗒一声关上了。;;Can you hear that strange clicking noise?;;你能听到咔嗒咔嗒的怪声吗？;;Paul clicked his fingers (= moved his thumb against his middle finger to make a short sharp sound) to attract the waiter's attention.;;保罗打了个响指叫侍者。;;Soldiers click their heels (= bring them sharply together) when they stand to attention.;;士兵们立正时脚后跟咔嚓一声碰在一起。;;Liz and I really clicked the first time we met.;;莉兹和我一见如故。;;The new daytime soap opera has yet to show signs that it's clicking with the television audience.;;尚无迹象表明新日间肥皂剧受到电视观众的欢迎。;;Suddenly everything clicked and I realized where I'd met him.;;突然一切都清楚了，我意识到自己在哪里见过他了。;;As he talked about his schooldays, it suddenly clicked where I had met him before.;;当他谈起自己的学校生活时，我突然想起来我曾经在哪儿见过他了。;;So it's finally clicked that you're going to have to get yourself a job, has it?;;所以，你最后终于明白你必须给自己找份工作，是吗？;;In the last act of the play, everything clicks into place.;;在戏的最后一幕，一切都真相大白了。;;The soldier gave a click of his heels as he saluted.;;士兵敬礼的时候脚后跟咔嚓一声并拢。;;Clicks are found in several southern African languages.;;咔嗒音可以在几种南部非洲语言中听到。;;All reference materials are just a click away in the computer databases.;;所有的参考资料都在计算机数据库中，不过一键之遥。;;",/klɪk/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukc/ukcle/ukclear025.mp3
clue,noun;;,线索;迹象;提示;;,Police are still looking for clues in their search for the missing girl.;;警方仍在寻找失踪女孩的线索。;;I'm never going to guess the answer if you don't give me a clue.;;要是你不给我一点提示，我永远也猜不到答案。;;,/kluː/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukc/ukclo/ukclosu021.mp3
coconut,noun;;,椰子;;（常用于烹饪的）椰肉;;,grated/shredded coconut;;椰蓉／椰丝;;,/ˈkəʊ.kə.nʌt/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukc/ukcoc/ukcocke013.mp3
code,noun;;verb;;,密码;代号;代码;;法典;法规;;行为准则;规范;规矩;;（DNA中遗传物质的）编码;;把…译成密码;用密码写;;,The message was written in code.;;电报是用密码写的。;;She managed to decipher/break/crack (= succeed in understanding) the code.;;她成功地破译了密码。;;Each entry in this dictionary has a grammar code.;;这本词典的每个词条都有一个语法标记。;;Clinics will be subject to a new code of conduct and stronger controls by local authorities.;;诊所将要遵守新的行业规范，并受到地方当局更有力的掌控。;;a moral code;;道德规范;;a code of behaviour/ethics;;行为／道德准则;;genetic codes;;基因编码;;,/kəʊd/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukc/ukcoc/ukcocke019.mp3
